gpu_name,cpu_name,method,num_timesteps,mean_time_sec,std_dev_sec
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,Pure Python,10,43.698821,0.084230
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,Pure Python,25,110.014916,0.939186
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,Pure Python,50,223.748059,1.287061
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,Pure Python,100,461.348654,7.234776
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,NumPy (CPU),10,4.980454,0.173302
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,NumPy (CPU),25,22.786639,0.205813
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,NumPy (CPU),50,86.931572,0.502695
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,NumPy (CPU),100,347.883550,3.980833
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,CuPy (GPU),10,3.854066,0.140653
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,CuPy (GPU),25,12.885241,0.022276
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,CuPy (GPU),50,46.622783,0.178398
NVIDIA H100 NVL,AMD EPYC 9V84 96-Core Processor,CuPy (GPU),100,182.261322,0.193946
