date,NO2,O3,NO,ws,temp,site,Year
01/01/2020 00:00,40.9705,12.04072,5.77062,0,-0.5,,2020
01/01/2020 01:00,42.53576,10.77678,8.32555,0.7,0.6,Leeds Centre,2020
01/01/2020 02:00,41.91247,10.97635,9.18453,1.3,1.2,Leeds Centre,2020
01/01/2020 03:00,38.86094,10.57721,7.4996,0.7,1.9,Leeds Centre,2020
01/01/2020 04:00,40.13936,8.23226,10.30782,1.7,2.6,Leeds Centre,2020
01/01/2020 05:00,,9.9785,5.38518,,3,Leeds Centre,2020
01/01/2020 06:00,34.99845,13.27141,6.21112,2,3.1,Leeds Centre,2020
01/01/2020 07:00,29.50862,20.75528,4.06366,1.8,2.9,Leeds Centre,2020
01/01/2020 08:00,39.02674,10.97635,11.5963,1.8,2.7,Leeds Centre,2020
01/01/2020 09:00,29.31557,18.70969,7.10315,2.3,2,Leeds Centre,2020
01/01/2020 10:00,22.60876,25.9441,5.38518,1.3,1.6,Leeds Centre,2020
,,26.29335,7.86302,1.1,2,Leeds Centre,2020
01/01/2020 12:00,21.247,28.33894,8.09428,1.7,3.3,Leeds Centre,2020
01/01/2020 13:00,20.22742,,6.80581,1.4,4.1,Leeds Centre,2020
01/01/2020 14:00,23.83662,25.39528,8.25947,1.8,,Leeds Centre,
01/01/2020 15:00,27.94858,22.20216,8.22644,2.3,1.4,Leeds Centre,2020
01/01/2020 16:00,29.46373,21.90281,5.84771,2.3,0.4,Leeds Centre,2020
01/01/2020 17:00,30.47764,20.45593,5.41821,1.9,-0.4,Leeds Centre,2020
01/01/2020 18:00,27.98759,22.40173,4.65834,2.1,-0.6,Leeds Centre,2020
01/01/2020 19:00,31.54569,16.41463,6.0129,2,1.5,Leeds Centre,2020
01/01/2020 20:00,41.27124,5.73764,14.86705,2.1,2.6,Leeds Centre,2020
01/01/2020 21:00,46.71718,2.6443,19.0959,3.5,3.5,Leeds Centre,2020
01/01/2020 22:00,46.4422,2.09549,28.08221,3.6,3.9,Leeds Centre,2020
01/01/2020 23:00,44.09922,1.54667,25.73652,3.6,4.2,Leeds Centre,2020
02/01/2020 00:00,43.97825,5.38839,,4.5,5.7,Leeds Centre,2020
02/01/2020 01:00,9.08093,45.56848,1.32211,4.5,5.8,Leeds Centre,2020
02/01/2020 02:00,7.26766,45.60175,,4,5.6,Leeds Centre,2020
02/01/2020 03:00,12.34724,38.66669,0.82632,3.9,,Leeds Centre,2020
02/01/2020 04:00,22.91721,29.9355,1.85096,3.3,5.5,Leeds Centre,2020
