gpu,cpu,method,grid_size,timesteps,mean_time_sec,std_dev_sec
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),50,100,2.063467,0.045987
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),50,100,2.673722,0.065165
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,Naive (CPU),50,100,3.174932,0.073362
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),100,100,2.087588,0.051706
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),100,100,2.667915,0.065814
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,Naive (CPU),100,100,6.653774,0.113325
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),250,100,2.225526,0.100086
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),250,100,2.658933,0.054842
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,Naive (CPU),250,100,30.527410,0.202121
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),500,100,2.415106,0.033757
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),500,100,2.706837,0.069167
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,Naive (CPU),500,100,132.631681,1.444587
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),1000,100,4.010868,0.296557
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),1000,100,2.652861,0.031628
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,Naive (CPU),1000,100,559.772829,11.304633
