gpu,cpu,method,grid_size,timesteps,mean_time_sec,std_dev_sec
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),50,100,3.238925,1.033222
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),100,100,2.502330,0.067399
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),250,100,2.453384,0.130417
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),500,100,2.436340,0.049481
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),1000,100,2.437894,0.122810
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),2500,100,2.503792,0.056716
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),5000,100,2.692318,0.040983
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),10000,100,3.809769,0.050915
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),15000,100,5.623580,0.018359
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),20000,100,8.400177,0.074555
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),25000,100,11.584349,0.057047
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),30000,100,15.807539,0.149792
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),40000,100,26.089969,0.200815
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),50000,100,40.500881,0.414871
