gpu,cpu,method,grid_size,timesteps,mean_time_sec,std_dev_sec
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),50,100,2.091429,0.075250
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),50,100,2.630615,0.026028
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),100,100,2.072720,0.052241
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),100,100,2.688768,0.059501
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),250,100,2.175943,0.053714
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),250,100,2.644925,0.036298
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),500,100,2.450191,0.075497
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),500,100,2.827237,0.052290
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),1000,100,3.875571,0.007465
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),1000,100,2.691696,0.043639
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),2500,100,18.247786,0.085240
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),2500,100,2.759881,0.110523
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),5000,100,62.562225,0.187020
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),5000,100,3.363562,0.281929
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,NumPy (CPU),10000,100,239.376334,0.764313
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),10000,100,5.186553,0.248861
