gpu,cpu,method,grid_size,timesteps,mean_time_sec,std_dev_sec
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),50,100,3.373583,0.826936
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),100,100,2.761768,0.088103
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),250,100,2.800489,0.023046
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),500,100,2.690734,0.057994
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),1000,100,2.753769,0.078095
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),2500,100,2.790142,0.037062
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),5000,100,3.195418,0.053766
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),10000,100,5.027194,0.031042
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),15000,100,8.442919,0.263919
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),20000,100,12.644069,0.093395
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),25000,100,18.554928,0.177289
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),30000,100,25.315868,0.173294
NVIDIA_A100-SXM4-80GB,AMD_EPYC_7V12_64-Core_Processor,CuPy (GPU),40000,100,42.860808,0.284663
