gpu,cpu,method,grid_size,timesteps,mean_time_sec,std_dev_sec
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,NumPy (CPU),50,100,3.640638,0.036798
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,CuPy (GPU),50,100,4.266703,0.177343
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,Naive (CPU),50,100,4.338512,0.111102
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,NumPy (CPU),100,100,3.604704,0.063980
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,CuPy (GPU),100,100,4.218450,0.092314
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,Naive (CPU),100,100,5.897992,0.069724
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,NumPy (CPU),250,100,3.594188,0.045117
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,CuPy (GPU),250,100,4.092836,0.101914
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,Naive (CPU),250,100,18.074257,0.265221
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,NumPy (CPU),500,100,4.050222,0.079530
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,CuPy (GPU),500,100,4.181186,0.128703
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,Naive (CPU),500,100,70.806250,0.382224
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,NumPy (CPU),1000,100,5.090459,0.094832
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,CuPy (GPU),1000,100,4.415727,0.013465
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,Naive (CPU),1000,100,290.000797,2.489353
