gpu,cpu,method,grid_size,timesteps,mean_time_sec,std_dev_sec
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),50,100,1.983749,0.007513
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),50,100,2.381084,0.068829
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,Naive (CPU),50,100,2.410273,0.049775
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),100,100,1.945175,0.039153
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),100,100,2.336525,0.002403
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,Naive (CPU),100,100,3.904390,0.023506
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),250,100,1.971557,0.060440
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),250,100,2.469172,0.128338
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,Naive (CPU),250,100,14.725007,0.102246
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),500,100,2.184285,0.066509
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),500,100,2.443785,0.112158
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,Naive (CPU),500,100,62.142849,0.301355
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),1000,100,2.938326,0.294434
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),1000,100,2.359441,0.030637
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,Naive (CPU),1000,100,264.626117,13.762658
