gpu,cpu,method,grid_size,timesteps,mean_time_sec,std_dev_sec
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),50,100,1.869059,0.043287
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),50,100,2.374159,0.029446
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),100,100,1.911878,0.055914
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),100,100,2.321233,0.027948
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),250,100,1.951020,0.020478
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),250,100,2.380752,0.072261
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),500,100,2.199362,0.094118
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),500,100,2.393087,0.049348
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),1000,100,2.864257,0.115768
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),1000,100,2.364880,0.022514
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),2500,100,16.395034,0.058331
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),2500,100,2.688642,0.313695
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),5000,100,57.519849,0.447362
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),5000,100,2.872334,0.298268
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,NumPy (CPU),10000,100,222.391967,1.363038
NVIDIA_H100_NVL,AMD_EPYC_9V84_96-Core_Processor,CuPy (GPU),10000,100,3.946568,0.353731
