,date,NO2,O3,NO,Wind Speed,Temperature,site,Year
24664,01/01/2023 01:00,7.30306,76.61852,1.22702,4.9,7.2,Leeds Centre,2023.0
24665,01/01/2023 02:00,4.31351,79.67418,0.82507,7.0,7.5,Leeds Centre,2023.0
24666,01/01/2023 03:00,2.95539,81.50758,0.79333,7.3,7.3,Leeds Centre,2023.0
24667,01/01/2023 04:00,2.0834,81.45519,0.53947,7.2,7.2,Leeds Centre,2023.0
24669,01/01/2023 06:00,2.95643,82.71238,0.5712,6.8,7.1,Leeds Centre,2023.0
24674,01/01/2023 11:00,8.67701,75.0645,1.3328,7.2,8.7,Leeds Centre,2023.0
24677,01/01/2023 14:00,11.05368,72.65489,1.39627,5.7,8.1,Leeds Centre,2023.0
24681,01/01/2023 18:00,23.95381,56.8353,2.12613,4.3,6.4,Leeds Centre,2023.0
24683,01/01/2023 20:00,25.31267,54.53046,1.9992,2.8,5.3,Leeds Centre,2023.0
24686,01/01/2023 23:00,61.79503,8.74792,11.74133,2.7,4.1,Leeds Centre,2023.0
24688,02/01/2023 01:00,11.51724,62.06322,0.67751,2.3,4.2,Leeds Centre,2023.0
24690,02/01/2023 03:00,10.33796,62.43014,0.28583,2.9,3.1,Leeds Centre,2023.0
24691,02/01/2023 04:00,10.91954,61.32936,0.47638,3.3,3.3,Leeds Centre,2023.0
24692,02/01/2023 05:00,9.36667,57.45041,0.3811,3.3,3.1,Leeds Centre,2023.0
24693,02/01/2023 06:00,13.63263,50.37395,1.55616,3.4,2.8,Leeds Centre,2023.0
24694,02/01/2023 07:00,17.80704,52.47068,1.58792,2.4,1.8,Leeds Centre,2023.0
24697,02/01/2023 10:00,21.58004,52.05133,4.31915,4.0,3.2,Leeds Centre,2023.0
24698,02/01/2023 11:00,23.13059,56.50688,4.8908,3.7,3.9,Leeds Centre,2023.0
24701,02/01/2023 14:00,21.77744,58.39394,3.65222,1.6,3.3,Leeds Centre,2023.0
24703,02/01/2023 16:00,55.87626,14.25777,8.98764,2.1,0.4,Leeds Centre,2023.0
24704,02/01/2023 17:00,63.68298,8.17725,10.73435,2.0,-0.4,Leeds Centre,2023.0
24705,02/01/2023 18:00,43.56617,2.67333,34.99779,2.1,-0.5,Leeds Centre,2023.0
24706,02/01/2023 19:00,49.91173,2.04431,47.76469,2.0,-1.2,Leeds Centre,2023.0
24707,02/01/2023 20:00,75.78138,1.57255,98.41939,2.0,-1.5,Leeds Centre,2023.0
24708,02/01/2023 21:00,40.29436,1.46771,59.03893,1.8,-1.8,Leeds Centre,2023.0
24709,02/01/2023 22:00,41.43954,1.83464,93.14749,2.1,-2.2,Leeds Centre,2023.0
24710,02/01/2023 23:00,34.75929,1.93948,89.33647,2.5,-2.0,Leeds Centre,2023.0
24711,03/01/2023 00:00,34.91151,1.46871,50.64178,2.3,-0.5,Leeds Centre,2023.0
24712,03/01/2023 01:00,39.65106,1.04908,22.67226,2.6,-0.7,Leeds Centre,2023.0
24713,03/01/2023 02:00,20.4898,3.30459,11.25137,3.2,-0.3,Leeds Centre,2023.0
24714,03/01/2023 03:00,43.67287,3.5144,8.58156,3.4,0.0,Leeds Centre,2023.0
24715,03/01/2023 04:00,32.6661,8.13033,4.73575,3.6,0.2,Leeds Centre,2023.0
24716,03/01/2023 05:00,12.93961,10.54321,5.84817,4.9,2.4,Leeds Centre,2023.0
24717,03/01/2023 06:00,12.60329,12.69381,5.11715,5.5,3.2,Leeds Centre,2023.0
24720,03/01/2023 09:00,28.96031,7.18616,17.16311,5.7,6.4,Leeds Centre,2023.0
24721,03/01/2023 10:00,19.59252,11.74964,15.79642,5.2,7.6,Leeds Centre,2023.0
24722,03/01/2023 11:00,17.75363,16.20821,14.42973,4.7,8.3,Leeds Centre,2023.0
24723,03/01/2023 12:00,26.81865,25.54498,8.42264,5.0,8.9,Leeds Centre,2023.0
24724,03/01/2023 13:00,20.65382,24.81062,7.62805,4.6,9.1,Leeds Centre,2023.0
24726,03/01/2023 15:00,21.22514,12.32663,9.91647,6.2,9.5,Leeds Centre,2023.0
24727,03/01/2023 16:00,21.56275,12.64136,10.39322,7.2,10.1,Leeds Centre,2023.0
24728,03/01/2023 17:00,16.90225,30.42318,9.88468,7.6,10.6,Leeds Centre,2023.0
24729,03/01/2023 18:00,4.16336,58.85311,2.76517,7.0,11.0,Leeds Centre,2023.0
24730,03/01/2023 19:00,3.48927,61.73807,1.58918,6.4,11.5,Leeds Centre,2023.0
24731,03/01/2023 20:00,2.13178,63.15432,1.08064,6.9,11.8,Leeds Centre,2023.0
24732,03/01/2023 21:00,1.55147,67.77025,0.5721,7.3,11.6,Leeds Centre,2023.0
24733,03/01/2023 22:00,0.43604,73.27789,0.22249,7.3,11.4,Leeds Centre,2023.0
24734,03/01/2023 23:00,0.04745,75.00887,0.22249,7.9,11.4,Leeds Centre,2023.0
24736,04/01/2023 02:00,4.56676,76.42435,0.41351,7.7,11.7,Leeds Centre,2023.0
24738,04/01/2023 04:00,4.17791,79.78366,0.41351,7.9,10.9,Leeds Centre,2023.0
24739,04/01/2023 05:00,6.02342,77.00173,0.69979,7.8,10.4,Leeds Centre,2023.0
24742,04/01/2023 08:00,14.96084,64.66675,1.8449,7.3,9.3,Leeds Centre,2023.0
24743,04/01/2023 09:00,12.67521,63.4595,2.06756,8.5,9.7,Leeds Centre,2023.0
24744,04/01/2023 10:00,10.8287,64.9292,1.97214,10.2,10.0,Leeds Centre,2023.0
24745,04/01/2023 11:00,11.02145,62.61967,2.29022,10.3,9.9,Leeds Centre,2023.0
24746,04/01/2023 12:00,11.94429,62.35723,2.41746,9.7,9.9,Leeds Centre,2023.0
