Date,Temperature High (C),Temperature Low (C),Temperature Average (C),Sea Surface Temperature (C),Sea Ice (WMO Code),Pressure High (mbar),Pressure Low (mbar),Pressure Average (mbar),Wind Peak (knots),Wind 5-Sec Peak (knots),Wind 2-Min Peak (knots),Wind Average (knots),Wind Peak Direction,Wind 5-Sec Peak Direction,Wind 2-Min Peak Direction,Wind Prevailing Direction,Precipitation Melted (mm),Precipitation Snow (cm),Depth at Snowstake (cm),Sky Coverage (tenths)
1989-04-01,2.8,-1.0,,,,1003.8,997.6,,18.0,,,4.0,110.0,,,SW,0.0,0,,4.0
1989-04-02,1.1,-2.7,,,,997.6,994.9,,24.0,,,9.0,30.0,,,NE,0.0,0,,2.0
1989-04-03,-0.6,-3.5,,,,998.1,995.2,,13.0,,,8.0,60.0,,,NE,0.0,0,,5.0
1989-04-04,1.1,-4.4,,,,1002.0,998.1,,14.0,,,6.0,210.0,,,NW,0.0,0,,5.0
1989-04-05,-0.6,-2.9,,,,1001.8,997.2,,14.0,,,4.0,230.0,,,SW,0.0,0,,10.0
1989-04-06,2.5,-3.1,,,,997.3,994.6,,15.0,,,4.0,180.0,,,W,0.0,0,,2.0
1989-04-07,-1.4,-3.2,,,,995.4,988.4,,16.0,,,8.0,40.0,,,NE,1.0,T,,9.0
1989-04-08,-0.8,-4.5,,,,996.8,983.0,,39.0,,,14.0,120.0,,,E,0.0,0,,5.0
1989-04-09,-1.0,-4.0,,,,1002.9,996.8,,27.0,,,11.0,50.0,,,E,0.0,0,,0.0
1989-04-10,-1.5,-3.8,,,,1002.8,995.0,,16.0,,,6.0,60.0,,,NE,T,T,,10.0
1989-04-11,-1.2,-3.3,,,,995.0,988.1,,12.0,,,8.0,360.0,,,W,T,T,,10.0
1989-04-12,-0.6,-5.8,,,,995.8,981.0,,30.0,,,12.0,260.0,,,SE,T,T,,1.0
1989-04-13,-3.5,-7.2,,,,1001.8,995.8,,16.0,,,10.0,30.0,,,SW,0.0,0,,4.0
1989-04-14,-3.0,-6.9,,,,1003.1,1001.1,,13.0,,,6.0,70.0,,,E,0.0,0,,7.0
1989-04-15,1.7,-5.5,,,,1001.1,988.0,,18.0,,,6.0,130.0,,,SE,T,T,,10.0
1989-04-16,3.6,0.0,,,,988.0,983.8,,32.0,,,16.0,80.0,,,N,0.0,0,,8.0
1989-04-17,0.8,-0.5,,,,989.2,985.7,,19.0,,,6.0,250.0,,,N,0.3,1,,10.0
1989-04-18,-1.1,-2.8,,,,996.1,989.2,,25.0,,,8.0,30.0,,,NE,2.0,T,,10.0
1989-04-19,-3.3,-5.8,,,,997.0,994.0,,26.0,,,10.0,40.0,,,NE,0.0,0,,6.0
1989-04-20,-2.8,-6.1,,,,994.8,992.1,,19.0,,,5.0,90.0,,,N,1.0,1,,10.0
1989-04-21,-0.2,-2.7,,,,992.1,983.1,,10.0,,,4.0,310.0,,,N,2.0,1,,10.0
1989-04-22,0.7,-1.9,,,,985.1,979.9,,20.0,,,2.0,10.0,,,N,4.0,4,,10.0
1989-04-23,0.6,-2.8,,,,988.5,979.7,,33.0,,,15.0,30.0,,,N,T,T,,10.0
1989-04-24,-0.5,-3.9,,,,983.8,979.6,,33.0,,,16.0,360.0,,,E,2.0,9,,10.0
1989-04-25,-1.1,-2.2,,,,992.5,983.1,,22.0,,,8.0,110.0,,,NW,2.0,4,,10.0
1989-04-26,-1.1,-3.1,,,,997.9,992.5,,16.0,,,8.0,240.0,,,SW,0.0,0,,10.0
1989-04-27,-0.3,-3.0,,,,997.0,981.0,,24.0,,,10.0,330.0,,,NW,1.0,2,,10.0
1989-04-28,-0.8,-1.7,,,,981.1,977.3,,20.0,,,12.0,210.0,,,W,4.0,10,,10.0
1989-04-29,-0.3,-3.3,,,,995.9,981.1,,17.0,,,12.0,20.0,,,N,0.0,0,,7.0
1989-04-30,0.5,-1.0,,,,995.0,977.0,,45.0,,,16.0,40.0,,,NE,0.0,0,,9.0
1989-05-01,-0.3,-1.7,,,,994.8,977.0,,40.0,,,10.0,60.0,,,N,0.8,3,,9.0
1989-05-02,-0.3,-3.8,,,,1011.4,994.9,,21.0,,,8.0,220.0,,,SW,T,T,,7.0
1989-05-03,2.9,0.0,,,,1010.9,1000.2,,40.0,,,10.0,40.0,,,N,1.0,3,,10.0
