Year,Average_temp,Max_temp,Min_temp
1989,,7.8,-11.1
1990,,8.7,-20.6
1991,,9.8,-18
1992,,10.3,-24.7
1993,,10.1,-17.6
1994,-7.2,9,-25.6
1995,0.06129032258064516,9,-26
1996,-0.6418032786885246,9.6,-22.7
1997,-2.4315068493150687,9.5,-25.2
1998,-0.9893150684931507,8.5,-21.7
1999,-1.4975342465753425,9.2,-23.4
2000,-1.368032786885246,10.8,-19.6
2001,-1.5865753424657534,9.5,-17.6
2002,-2.621917808219178,8.5,-21.6
2003,-1.1893150684931506,9.4,-19.7
2004,-1.6286885245901639,9.8,-22.9
2005,-1.7947945205479452,9.8,-19.9
2006,-0.9971988795518207,10.6,-15.2
2007,-1.6287671232876713,9.9,-16.3
2008,-0.7920765027322404,6.8,-18.9
2009,-1.788622754491018,7.7,-14.1
2010,-0.7208219178082191,11.6,-17.7
2011,-1.8876712328767122,8.1,-19.1
2012,-1.4284153005464482,8.9,-15.9
2013,-1.949041095890411,8.7,-24.7
2014,-1.576164383561644,8.5,-16.3
2015,-3.318082191780822,8.9,-23.3
2016,-1.8639344262295081,9.4,-18.7
2017,-1.5217032967032966,9.3,-20.9
2018,-1.658082191780822,9.7,-21.9
2019,-1.810958904109589,9,-21.4
2020,-1.1293956043956044,10.6,-15.3
2021,-0.9621917808219178,10.9,-18.3
2022,-0.2071232876712329,11.6,-9
2023,0.4325966850828729,8.7,-9.2
